qid,category,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q403453,病気,Q12136,Aicardi-Goutieres syndrome,エカルディ・グティエール症候群,a rare genetic neurodevelopmental disorder,,C535607,,,,C0393591
Q5958573,病気,Q12136,compulsive sexual behaviour disorder,色情症,mental disorder according to ICD-11,性欲の異常亢進,D000096583,,,,
Q390211,病気,Q12136,atrioventricular septal defect,心内膜床欠損症,Human disease,,D004694,,,,C0014116
Q11262043,病気,Q12136,Onsan illness,温山病,Cadmium poisoning caused by environmental pollution in the South Korean city of Onsan in the 1980s,,,,,,
Q390791,病気,Q12136,hepatoerythropoietic porphyria,,Human disease,,D017121,E80.2,277.1,111386004,C0162569
Q359288,病気,Q12136,Yushō disease,カネミ油症事件,mass poisoning in Japan,1960年代に日本で発生した油症事件,C536720,,,,C2931297
Q8054567,病気,Q12136,Yokkaichi asthma,四日市ぜんそく,Epidemic of asthma caused by air pollution in Japan,1970年ごろに起こった日本の公害問題,,,,,
Q106692972,病気,Q12136,lacerated kidney,,major trauma to the kidney,,,,,,
Q183472,病気,Q12136,itai-itai disease,イタイイタイ病,Japanese epidemic of cadmium poisoning,未処理廃水によるカドミウム過剰摂取状態で長期間生活してた婦中町(現:富山市)の農業従事者に発生していた公害病,,,,,
Q3508568,病気,Q12136,CHILD syndrome,,human disease,,C562515,Q87.8,,,C0265267
Q402575,病気,Q12136,maple syrup urine disease,メープルシロップ尿症,human disease,,D008375,,,,C0024776
Q15806106,病気,Q12136,dissexuality,,,,,,,,
Q419897,病気,Q12136,porphyria due to ALAD deficiency,,"porphyria that has symptom abdominal pain, has symptom neuropathy, has symptom autonomic instability and has symptom psychosis",,,E80.2,277.1,,C0162533
Q3508601,病気,Q12136,"Ehlers-Danlos syndrome, arthrochalasis type",,,,C562625,,,,C0268345
Q3508614,病気,Q12136,hyperinsulinism-hyperammonemia syndrome,,medical condition,,C538375,E72.8,,,C1847555
Q18387254,病気,Q12136,TB-Mission 2020,,,,,,,,
Q3501154,病気,Q12136,Larsen syndrome,,autosomal dominant disease that is characterized by large-joint dislocations and characteristic craniofacial abnormalities,,C580241,,,,C0175778
Q48988385,病気,Q12136,voretigene neparvovec,ボレチジーンネパルボベック,gene therapy medication,,,,,,
Q11085,病気,Q12136,Parkinson's disease,パーキンソン病,long-term degenerative neurological disorder,運動障害を示す進行性の神経変性疾患の一種,D010300,,,,C0030567
Q601168,病気,Q12136,peri-implantitis,,inflammatory disease,,D057873,,,,C2936258
Q556281,病気,Q12136,uterine fibroid,子宮筋腫,uterine benign neoplasm derived from the smooth muscle layer of the uterus,,,,,,C0042133
Q6954317,病気,Q12136,NIH funding of IBS Research,,,,,,,,
Q1472,病気,Q12136,Crohn's disease,クローン病,type of inflammatory bowel disease,主として口腔から肛門までの全消化管に、非連続性の慢性肉芽腫性炎症を生じる原因不明の炎症性疾患,D003424,,,,C0156147
Q387082,病気,Q12136,ataxia telangiectasia,毛細血管拡張性運動失調症,"a rare, neurodegenerative, autosomal recessive human disease causing severe disability",,D001260,G11.3,334.8,,C0004135
Q7826225,病気,Q12136,Toroku arsenic disease,土呂久砒素公害,disease caused by pollution in Japan,亜砒酸製造の「亜ヒ焼き」が引き起こした公害。,,,,,
Q63430622,病気,Q12136,Splenic sequestration crisis,,Illness,,,,,,
Q3508580,病気,Q12136,Joubert syndrome with orofaciodigital defect,,Joubert syndrome subtype with orofaciodigital defect,,C536531,,,,C2745997
Q7824270,病気,Q12136,tooth loss,,tooth wobbles and moves,,D016388,,,,C0080233
Q267907,病気,Q12136,hypersexuality,異常性欲,excessive arousal and interest in sex,量的または質的に異常な性欲,,F52.7,,,C3898830
Q18579,病気,Q12136,frontotemporal lobar degeneration,前頭側頭葉変性症,group of disorders,,D057174,,,,C0751072
Q3508616,病気,Q12136,Baller-Gerold syndrome,バレーゲロルド症候群,"synostosis characterized by coronal craniosynostosis, short stature, and aplasia or hypoplasia of the radial bone",,C536788,,,,C0265308
Q18583,病気,Q12136,progressive nonfluent aphasia,,neurological disorder,,D057178,,,,C0751706
Q1485,病気,Q12136,systemic lupus erythematosus,全身性エリテマトーデス,"inflammation of connective tissue marked by skin rashes, joint pain and swelling, inflammation of the kidneys and inflammation of the tissue surrounding the heart.",膠原病の一つ,D008180,,,,C0024141
Q11521711,病気,Q12136,Suginami desease,杉並病,,,,,,,
Q996200,病気,Q12136,Niigata Minamata disease,第二水俣病,Japanese outbreak of mercury poisoning,日本の公害病、有機水銀を含んだ廃液による食物連鎖で生じた中毒性中枢神経系疾患,,T56.1,985.0,,
Q337554,病気,Q12136,heat stroke,熱射病,"failure of the body to dissipate heat in an excessively hot environment, or during physical exertion",40℃を超える体温とせん妄を生じさせる重度の熱中症の一つ,D018883,T67.0,,,C0018843
Q18592,病気,Q12136,frontotemporal dementia,前頭側頭型認知症,medical condition,,D057180,G31.0,331.19,,C4229268
Q3508578,病気,Q12136,rapadilino syndrome,,Human disease,,C535288,Q87.1,,,C1849453
Q3508572,病気,Q12136,muscle-eye-brain disease,,disease,,,,,,C0457133
Q3508570,病気,Q12136,MASS syndrome,,Connective tissue disorder,,C536030,Q87.5,,,C1858556
