en_label,ja_label,category_en,category_ja,en_description,ja_description,qid
Aicardi-Goutieres syndrome,エカルディ・グティエール症候群,disease,病気,a rare genetic neurodevelopmental disorder,,Q403453
compulsive sexual behaviour disorder,色情症,disease,病気,mental disorder according to ICD-11,性欲の異常亢進,Q5958573
slipped capital femoral epiphysis,大腿骨頭滑り症,disease,病気,rare disease,,Q442615
atrioventricular septal defect,心内膜床欠損症,disease,病気,Human disease,,Q390211
paramyotonia congenita,先天性パラミオトニア,disease,病気,human disease,,Q493103
interstitial lung disease,間質性肺炎,disease,病気,group of lung diseases affecting the interstitium (the tissue and space around the air sacs of the lungs),肺にある間質組織の線維化が起こる疾患,Q1153419
sucrose intolerance,ショ糖不耐症,disease,病気,Congenital sucrase-isomaltase deficiency (CSID) is a carbohydrate intolerance disorder characterised by malabsorption of oligosaccharides and disaccharides,,Q498826
pulmonary alveolar proteinosis,肺胞蛋白症,disease,病気,"lung disease that is characterized by abnormal accumulation of surfactant occurs within the alveoli, interfering with gas exchange",,Q448698
neurogenic arthrogryposis multiplex congenita,関節拘縮,disease,病気,congenital joint contracture in two or more areas of the body,,Q708165
maple syrup urine disease,メープルシロップ尿症,disease,病気,human disease,,Q402575
amelogenesis imperfecta,エナメル質形成不全,disease,病気,dental enamel hypoplasia characterized by abnormal enamel formation,,Q461854
Lesch-Nyhan syndrome,レッシュ・ナイハン症候群,disease,病気,rare genetic syndrome,,Q727436
mitral valve prolapse,僧帽弁逸脱症,disease,病気,mitral valve disease where one or both of the cusps of the mitral valve bulge or collapse backward in the left atrium during systole,,Q735652
Parkinson's disease,パーキンソン病,disease,病気,long-term degenerative neurological disorder,運動障害を示す進行性の神経変性疾患の一種,Q11085
uterine fibroid,子宮筋腫,disease,病気,uterine benign neoplasm derived from the smooth muscle layer of the uterus,,Q556281
Kashin–Beck disease,カシン＝ベック病,disease,病気,"chronic, endemic osteochondropathy",,Q500314
Crohn's disease,クローン病,disease,病気,type of inflammatory bowel disease,主として口腔から肛門までの全消化管に、非連続性の慢性肉芽腫性炎症を生じる原因不明の炎症性疾患,Q1472
ataxia telangiectasia,毛細血管拡張性運動失調症,disease,病気,"a rare, neurodegenerative, autosomal recessive human disease causing severe disability",,Q387082
Simpson-Golabi-Behmel syndrome,シンプソン・ゴラビ・ベーメル症候群,disease,病気,"X-linked disease characterized by pre- and postnatal overgrowth and craniofacial, skeletal, cardiac and renal abnormalities",,Q478891
lung cancer,肺癌,disease,病気,cancer in the lung,肺に発生する上皮細胞由来の悪性腫瘍,Q47912
McCune–Albright syndrome,マッキューン・オルブライト症候群,disease,病気,rare disease,,Q727008
autoimmune lymphoproliferative syndrome,自己免疫性リンパ増殖症候群,disease,病気,Human disease,,Q1151300
frontotemporal lobar degeneration,前頭側頭葉変性症,disease,病気,group of disorders,,Q18579
systemic lupus erythematosus,全身性エリテマトーデス,disease,病気,"inflammation of connective tissue marked by skin rashes, joint pain and swelling, inflammation of the kidneys and inflammation of the tissue surrounding the heart.",膠原病の一つ,Q1485
heat stroke,熱射病,disease,病気,"failure of the body to dissipate heat in an excessively hot environment, or during physical exertion",40℃を超える体温とせん妄を生じさせる重度の熱中症の一つ,Q337554
frontotemporal dementia,前頭側頭型認知症,disease,病気,medical condition,,Q18592
Craniopagus parasiticus,寄生的頭蓋結合体,disease,病気,rare type of Craniopagus,,Q1483
bronchiectasis,気管支拡張症,disease,病気,disorder of respiratory system,,Q32778
Waardenburg's syndrome,ワールデンブルグ症候群,disease,病気,genetic condition involving hearing loss and depigmentation,,Q1151801
cystinosis,シスチノーシス,disease,病気,lysosomal storage disease characterized by the abnormal accumulation of cystine in lysosomes,,Q1149042
Bannayan-Riley-Ruvalcaba syndrome,バナヤン・ライリー・ルバルカバ症候群,disease,病気,"a rare overgrowth syndrome and hamartomatous disorder with occurrence of multiple subcutaneous lipomas, macrocephaly and hemangiomas.",,Q474254
greasy pig disease,滲出性表皮炎,disease,病気,,,Q1406349
Felty's syndrome,フェルティ症候群,disease,病気,"syndrome that results in rheumatoid arthritis, splenomegaly and neutropenia",関節リウマチ、脾腫、白血球減少を三主徴とする疾患,Q1404470
fish tuberculosis,抗酸菌症,disease,病気,,,Q1420459
polyarthritis,多発性関節炎,disease,病気,type of arthritis which involves 5 or more joints simultaneously,,Q1274464
fetus in fetu,封入胎児,disease,病気,"fetus-like tissue mass within a fetus, abnormality of twin pregnancy",,Q1435125
familial Mediterranean fever,家族性地中海熱,disease,病気,Human disease,,Q1144618
age related macular degeneration,加齢黄斑変性,disease,病気,medical condition which may result in blurred or no vision in the center of the visual field,,Q830308
Wolfram syndrome,ウォルフラム症候群,disease,病気,"rare disease in which a human simultaneously has diabetes insipidus, diabetes, optic nerve atrophy and deafness syndrome",,Q1153641
Werner syndrome,ウェルナー症候群,disease,病気,Lethal autosomal recessive disorder,,Q1154619
juvenile rheumatoid arthritis,若年性特発性関節炎,disease,病気,rheumatoid arthritis that involves an autoimmune disease onset in children under 16 which attacks the healthy cells and tissue of located in joint,,Q861224
atrial heart septal defect,心房中隔欠損,disease,病気,heart septal defect located in the septum that separates the two atria of the heart,,Q757749
stiff-person syndrome,スティッフパーソン症候群,disease,病気,"rare neurologic disorder characterized by progressive rigidity and stiffness in truncal muscles, spasms, postural deformities, chronic pain, impaired mobility, and lumbar hyperlordosis",非常に稀な進行性の神経性疾患で、自己免疫疾患の一種,Q1235785
hereditary hemorrhagic telangiectasia,ランデュー・オスラー・ウェーバー症候群,disease,病気,genetic disorder involving capillaries,血管奇形を起こす遺伝性疾患。遺伝性出血性毛細血管拡張症あるいは遺伝性出血性末梢血管拡張症。,Q776881
sirenomelia,シレノメリア,disease,病気,disease,,Q795024
clubfoot,先天性内反足,disease,病気,bone development disease,,Q1162164
mismatch repair cancer syndrome,ターコット症候群,disease,病気,genetic disease,,Q736633
retinoblastoma,網膜芽細胞腫,disease,病気,retinal cell cancer,,Q500695
Creutzfeldt-Jakob disease,クロイツフェルト・ヤコブ病,disease,病気,degenerative neurological disorder,中枢神経の変性疾患,Q49989
asplenia,無脾症,disease,病気,congenital disorder,,Q737712
diphallia,陰茎重複症,disease,病気,genital medical condition,男児が2本の陰茎を持って生まれる疾患,Q1227139
