qid,category,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q622527,症状,Q169872,self-injury,自傷行為,intentional injury to one's own body without the intention to kill oneself,意図的に自らの身体を傷つけたり、毒物などを摂取したりすること,D016728,X84,,,C0036601
Q169251,症状,Q169872,sadness,悲しみ,"emotional pain associated with, or characterized by, feelings of disadvantage, loss, despair, grief, helplessness, disappointment and sorrow",負の感情のひとつ,D000078602,,,,C3536794
Q1739905,症状,Q169872,ketonuria,ケトン尿症,medical condition in which ketone bodies are present in the urine,尿中のケトン体が増量する症状,,R82.4,791.6,,C0162275
Q202013,症状,Q169872,nosebleed,鼻血,bleeding from the nose,鼻腔からの出血,D004844,R04.0,784.7,,C0014591
Q205835,症状,Q169872,snoring,いびき,"involuntary, vibratory noises made while sleeping",睡眠時に上気道が呼吸時に擦れて出す呼吸音,D012913,R06.5,786.09,,C0037384
Q3073147,症状,Q169872,intermittent fever,間欠熱,symptom,一日の体温差が1°C以上の変化をとり、37°C以下にまで下がる発熱,,,,,C0277799
Q1938569,症状,Q169872,flashback,フラッシュバック,psychological phenomenon in which a person re-experiences a memory,強烈な心的外傷が突如として再現される心理現象,,,,,
Q937353,症状,Q169872,echolalia,反響言語,speech disorder that involves the automatic repetition of vocalizations made by another person,他者の言葉をそのまま繰り返して真似る行為,D004454,R48.8,784.69,,C0013528
Q1433654,症状,Q169872,virilization,男性化,biological development of male sex characteristics,成人男性の特徴が生物学的に発現する事,,,,,
Q4215775,症状,Q169872,metal poisoning,金属中毒,toxic and harmful effects of certain metals and their compounds to living organisms,金属の摂取により毒性のある化合物が形成されること,D020260,T56,,,C0274869
Q5419936,症状,Q169872,executive disfunction,遂行機能障害,"difficulty with accessing executive functions such as organization, planning ahead, and self-monitoring",目標設定・そのプロセスの計画・効果的行動が出来なくなる高次脳機能障害の一種,,,,,C2748208
Q6508875,症状,Q169872,Leaf spot,斑点性病害,leaf disease caused by fungal pathogen,植物の葉に病斑を形成する病害の総称,,,,,
Q574360,症状,Q169872,spasm,痙攣,"involuntary contraction of a muscle, organ or orifice",不随意に筋肉が激しく収縮すること,D013035,R25.225.2,"728.85728.85,780.39780.39",,C0037763
Q505142,症状,Q169872,eosinophilia,好酸球増加症,Human disease,血液疾患,D004802,,,419455006,C0014457
Q1549918,症状,Q169872,impulsivity,衝動性,"tendency to act on a whim, displaying behavior characterized by little or no forethought, reflection, or consideration of the consequences",悪い結果になってしまうかもしれない行動を深く考えずに行ってしまうという行動特性,D007175,,,,C0021125
Q11492730,症状,Q169872,nasake wa hito no tame narazu,情けは人の為ならず,,日本語のことわざ,,,,,
Q12046440,症状,Q169872,emotional disorder,情緒障害,symptom,症状,,,,,C0233459
Q11491565,症状,Q169872,acute subdural hematoma,急性硬膜下血腫,accumulation of blood in the subdural space with acute onset of neurological symptoms,短時間で硬膜と脳の間に血腫が形成された状態,D020199,,,,C0749098
Q11075191,症状,Q169872,post-war chaos period,戦後混乱期,,第二次世界大戦終戦直後の日本の政治経済が混乱した時期,,,,,
Q9162872,症状,Q169872,schizophrenic autism,自閉,"autism as a symptom of schizophrenia, withdrawal to inner life",陰性症状：自己の内界に閉じ込もる,,,,,
Q2467856,症状,Q169872,Agony in the Garden,ゲツセマネの祈り,episode from the life of Jesus Christ,イエス・キリストがゲツセマネの園で十字架刑に処せられる前夜に祈った祈り,,,,,
Q21117511,症状,Q169872,stiff neck,寝違え,,睡眠中に起こる首の痛みまたは首の硬直,,,,,
Q21120251,症状,Q169872,black skin,,symptom from exposure to acetic acid,酢酸への暴露による症状,,,,,C0860447
Q29589522,症状,Q169872,salmon-colored rash,サーモンピンク疹,,成人Still病において発熱と同時に現れるサーモンピンク色の紅斑。掻痒感はなく、解熱と同時に消退する。,,,,,
Q56026208,症状,Q169872,ring of paleness around the mouth,口の周りの青白い輪,diagnostic symptom,症状,,,,,
Q126810878,症状,Q169872,Acute scrotum,急性陰嚢症,,陰嚢の急性疼痛・腫脹,,,,,
Q9690,症状,Q169872,fatigue,疲労,medical symptom usually of physical and/or mental weakness that does not resolve with rest or sleep,主観的感覚,D005221,R53,780.7,,C0015672
Q2293277,症状,Q169872,tophus,,"deposit of uric acid crystals, in the form of monosodium urate crystals, in people with longstanding hyperuricemia (high levels of uric acid in the blood)",,,,274.0,,C0221248
Q1433921,症状,Q169872,Heinz body,ハインツ小体,symptom,,D006366,,,,C0018871
Q2266426,症状,Q169872,visual disturbance,,,,,H53.1,,,
Q2268776,症状,Q169872,lying,横臥,human position in which the body is more or less horizontal and supported along its length by the surface underneath,,,,,,
Q7098794,症状,Q169872,Optic disc pallor,,Finding in eye examinations,,,,,,C0554970
Q748444,症状,Q169872,asterixis,,medical condition,,,R27.8,781.3,,
Q1413614,症状,Q169872,tympanites,鼓脹症,medical condition in which excess gas accumulates in the gastrointestinal tract and causes abdominal distension,,,R14,,,C3553272
Q1404110,症状,Q169872,greyout,グレイアウト,transient loss of vision characterized by a perceived dimming of light and color,,,,,,
Q2117286,症状,Q169872,Braxton Hicks contraction,Braxton-Hicks収縮,uterine contractions during pregnancy before labor,,,O47,644.1,,C0233187
Q2181165,症状,Q169872,specific interests,,,,,,,,
Q2163996,症状,Q169872,fasciation,帯化,condition of abnormal growth in vascular plants,,,,,,
Q2115731,症状,Q169872,pseudoglioma,,,,,,,,C0033800
Q2141836,症状,Q169872,chemical burn,化学熱傷,medical condition,,D002057,T26,949,,C0006435
Q3705665,症状,Q169872,depigmentation,色素脱失,lightening of the skin or loss of pigment,,,,,,
Q3589142,症状,Q169872,epigastric pain,心窩部痛,symptom,,,R10.1,,,C0232493
Q3539327,症状,Q169872,Webbed neck,,Congenital anatomic variant.,,,Q18.3,744.5,,
Q1529977,症状,Q169872,muscle rigidity,筋肉の硬直,symptom,,D009127,,,,C0026837
Q1500346,症状,Q169872,xanthelasma,眼瞼黄色腫,medical condition,,,H02.6,374.51,,C0155210
Q1458077,症状,Q169872,Trousseau sign,トルソー徴候,symptom,,,,,,C0234181
Q1581472,症状,Q169872,Palmar hyperhidrosis,,symptom,,,,,,C1856953
Q653197,症状,Q169872,rash,皮疹,skin condition,,,R21,,,C0015230
Q739481,症状,Q169872,aura,アウラ (医学用語),eye disturbance with/without headache,,,G43.1,346.0,,C3552117
Q663998,症状,Q169872,death rattle,死前喘鳴,sound often produced by someone who is near death when fluids such as saliva and bronchial secretions accumulate in the throat and upper chest,,,,,,
Q1162276,症状,Q169872,xerostomia,口腔乾燥症,medical condition,,D014987,K11.7,527.7,,C0043352
Q942936,症状,Q169872,witches' mark,,Hypothetical mark on the body indicating a person was a witch,,,,,,
Q936070,症状,Q169872,trismus,牙関緊急,medical problem of jaw clenching,,D014313,R25.2,781.0,,C0041105
Q1097957,症状,Q169872,intermittent claudication,間欠跛行,"symptom that describes muscle pain on mild exertion (ache, cramp, numbness or sense of fatigue)",,D007383,,440.21,,C0021775
Q1115038,症状,Q169872,runny nose,鼻漏,type of medical symptom where the nasal cavity is filled with fluid mucus,,D000086722,J34.8,478.19,,C1260880
Q778731,症状,Q169872,pyuria,,symptom,,D011776,N39.0,791.9,4800001,C0034359
Q841743,症状,Q169872,thousand-yard stare,1000ヤードの凝視,trauma symptom,,,,,,
Q776790,症状,Q169872,necrolytic migratory erythema,壊死性遊走性紅斑,"dermatological manifestation of many internal diseases, most often, glucagonoma.",,D058568,,,15576007,C0221243
Q1088113,症状,Q169872,chronic pain,慢性疼痛,acute pain extending beyond the usual healing process,,D059350,G89.4,338.2,,C0150055
Q290620,症状,Q169872,dysphoria,不快,"state of feeling unwell or unhappy; a feeling of emotional and mental discomfort as a symptom of discontentment, restlessness, dissatisfaction, malaise, depression, anxiety or indifference",,,,,,C3176494
Q368779,症状,Q169872,insect-inflicted wound,虫刺症,wound caused by the bite or sting of an insect,,D007299,T14.1,919.4,,
Q154430,症状,Q169872,anxiety,不安,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",,D001007,F41.9,,48694002,C4020884
Q220322,症状,Q169872,agnosia,失認,neurologic sensory disorder,,D000377,,784.69,,C0001816
Q116275,症状,Q169872,myoclonus,ミオクローヌス,"medical sign, rapid involuntary irregular muscle contractions",,D009207,G25.3,333.2,,C0027066
Q498916,症状,Q169872,apraxia,失行,agnosia that is a loss of the ability to map out physical actions in order to repeat them in functional activities,,D001072,R48.2,784.69,68345001,C0003635
Q143877,症状,Q169872,cogwheel rigidity,,disease symptom in neurology,,,,,,C0151564
Q382255,症状,Q169872,affect lability,,mental state,,,,,,
Q581349,症状,Q169872,serositis,,inflammation of the serous tissues of the body,,D012700,,,,C0036749
Q599982,症状,Q169872,enanthem,,rash on the mucous membranes,,,B09,,,C0014034
Q388169,症状,Q169872,malar rash,,medical condition,,,,,,C0238864
Q180762,症状,Q169872,angina pectoris,狭心症,chest discomfort due to not enough blood flow to heart muscle,,D000787,I20,413,,C0002962
Q188008,症状,Q169872,dyspnea,呼吸困難,feelings associated with impaired breathing,,D004417,R06.0,,,C0013404
Q372236,症状,Q169872,acephalgic migraine,,migraine symptom,,,,,,C0338486
Q1640924,症状,Q169872,hyperfocus,過集中,"a state of extreme focus experienced by neurodivergent individuals, commonly with ADHD or autism",,,,,,C2609323
Q1663500,症状,Q169872,mating bite,,part of the mating behavior,,,,,,
Q1644260,症状,Q169872,hearing disorder,聴覚障害,"human disease condition that impairs the ability to detect, process, or interpret sounds",,D006311,,,,C0260662
